City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,San Quintin,MX,2/12/2022 7:55,30.4833,-115.95,60.58,60,0,2.24,clear sky
62,Georgetown,MY,2/12/2022 7:55,5.4112,100.3354,89.53,69,20,10.36,few clouds
63,Kharovsk,RU,2/12/2022 7:55,59.9642,40.1912,23.56,90,99,9.4,overcast clouds
64,Provideniya,RU,2/12/2022 7:55,64.3833,-173.3,-14.69,86,1,8.41,clear sky
65,Laguna,US,2/12/2022 7:55,38.421,-121.4238,62.42,86,0,3.44,clear sky
66,Bonavista,CA,2/12/2022 7:55,48.6499,-53.1147,32.11,70,26,14.34,scattered clouds
67,Bluff,NZ,2/12/2022 7:55,-46.6,168.3333,53.8,61,92,16.17,overcast clouds
68,Kupang,ID,2/12/2022 7:55,-10.1667,123.5833,82.35,79,100,4.54,overcast clouds
69,Ribeira Grande,PT,2/12/2022 7:55,38.5167,-28.7,61.2,72,20,11.5,few clouds
70,Vaini,TO,2/12/2022 7:55,-21.2,-175.2,80.76,94,20,6.91,few clouds
71,Turukhansk,RU,2/12/2022 7:55,65.8167,87.9833,0.63,82,0,4.16,clear sky
72,Mittagong,AU,2/12/2022 7:55,-34.45,150.45,63.7,89,79,4.34,broken clouds
73,Daru,PG,2/12/2022 7:55,-9.0763,143.2092,82.13,72,100,6.64,overcast clouds
74,Bredasdorp,ZA,2/12/2022 7:55,-34.5322,20.0403,78.28,68,94,12.66,overcast clouds
75,Hithadhoo,MV,2/12/2022 7:55,-0.6,73.0833,81.39,69,33,6.58,scattered clouds
76,Namibe,AO,2/12/2022 7:55,-15.1961,12.1522,77.63,78,75,0,broken clouds
77,Yarada,IN,2/12/2022 7:55,17.65,83.2667,84.52,39,20,9.22,haze
78,Hamilton,US,2/12/2022 7:52,39.1834,-84.5333,41.11,82,100,12.66,overcast clouds
79,Lavrentiya,RU,2/12/2022 7:55,65.5833,-171,-24.29,93,29,7.36,scattered clouds
80,Kodiak,US,2/12/2022 7:55,57.79,-152.4072,35.49,94,75,12.48,broken clouds
81,Catamarca,AR,2/12/2022 7:55,-28.4696,-65.7852,67.59,97,100,5.99,moderate rain
